givid,id,family
1,J292A_0103,J243_2816/J243_1013
2,J292A_0113,J243_0300/J243_2275
3,J292A_0136,J243_3077/J243_1649
4,J292A_0340,J243_3125/J243_1695
5,J292A_0434,J243_2703/J243_1216
6,J292A_0502,J243_0951/J243_0195
7,J292A_0505,J243_1716/J243_0087
8,J292A_0510,J243_0054/J243_1052
9,J292A_0520,J243_1974/J243_3530
10,J292A_0521,J243_0300/J243_2275
11,J292A_0610,J243_1137/J243_1221
12,J292A_0637,J243_0098/J243_2893
13,J292A_0646,J243_2791/J243_2822
14,J292A_0683,J243_1902/J243_3105
15,J292A_0685,J243_0300/J243_0965
16,J292A_0689,J243_0098/J243_0206
17,J292A_0710,J243_1450/J243_2214
18,J292A_0740,J243_3125/J243_2929
19,J292A_0787,J243_1469/J243_1408
20,J292A_0830,J243_3089/J243_2557
21,J292A_1018,J243_0760/J243_0798
22,J292A_1024,J243_3124/J243_2851
23,J292A_1110,J243_1484/J243_3185
24,J292A_1112,J243_0635/J243_2844
25,J292A_1126,J243_2939/J243_2276
26,J292A_1138,J243_0635/J243_1857
27,J292A_1153,J243_0550/J243_3128
28,J292A_1271,J243_2576/J243_1060
29,J292A_1287,J243_3100/J243_1375
30,J292A_1399,J243_2816/J243_1013
31,J292A_1420,J243_1570/J243_2378
32,J292A_1427,J243_2961/J243_0106
33,J292A_1558,J243_1882/J243_2547
34,J292A_3040,J243_0054/J243_1751
35,J292A_3054,J243_0120/J243_0783
36,J292A_3058,J243_0300/J243_2275
37,J292A_3092,J243_1137/J243_0197
38,J292A_3145,J243_0539/J243_3078
39,J292A_3180,J243_1017/J243_0999
40,J292A_3318,J243_1587/J243_3163
41,J292A_3328,J243_0054/J243_1052
42,J292A_3342,J243_2961/J243_1117
43,J292A_3364,J243_0672/J243_1101
44,J292A_3627,J243_1981/J243_2026
45,J292A_4230,J243_1951/J243_0888
46,J292A_4300,J243_0784/J243_0555
47,J292A_4414,J243_0551/J243_2574
48,J292A_4422,J243_1981/J243_2352
49,J292A_4437,J243_3124/J243_2779
50,J292A_4453,J243_2816/J243_0570
51,J292A_4496,J243_0550/J243_3128
52,J292A_4533,J243_2816/J243_1429
53,J292A_4535,J243_3540/J243_0932
54,J292A_4548,J243_3100/J243_0522
55,J292A_4579,J243_1469/J243_1911
56,J292A_4604,J243_1017/J243_0797
57,J292A_4605,J243_0672/J243_1101
58,J292A_4610,J243_2939/J243_2276
59,J292A_4612,J243_3100/J243_1375
60,J292A_4620,J243_1119/J243_2527
61,J292A_4634,J243_0760/J243_0798
62,J292A_4645,J243_2703/J243_3534
63,J292A_4650,J243_0951/J243_0101
64,J292A_4652,J243_0663/J243_0352
65,J292A_4666,J243_0663/J243_0352
66,J292A_4674,J243_3125/J243_2929
67,J292A_4677,J243_1951/J243_0004
68,J292A_4808,J243_0770/J243_2047
69,J292A_5076,J243_1532/J243_2329
70,J292A_5092,J243_1670/J243_2516
71,J292A_6137,J243_0013/J243_3547
72,J292A_6210,J243_3540/J243_0932
73,J292A_6219,J243_1683/J243_2392
74,J292A_6242,J243_2576/J243_1060
75,J292A_6306,J243_1683/J243_0109
76,J292A_6347,J243_1484/J243_3185
77,J292A_6474,J243_0183/J243_1921
78,J292A_6540,J243_1053/J243_0912
79,J292A_6594,J243_3100/J243_2748
80,J292A_6595,J243_2961/J243_0106
81,J292A_6596,J243_0951/J243_1105
82,J292A_6682,J243_3171/J243_1759
83,J292A_6691,J243_2625/J243_0111
84,J292A_6713,J243_2816/J243_1013
85,J292A_6736,J243_0760/J243_0798
86,J292A_6755,J243_1053/J243_1721
87,J292A_6785,J243_0784/J243_3168
88,J292A_6794,J243_0265/J243_1160
89,J292A_6803,J243_3124/J243_2851
90,J292A_6804,J243_1532/J243_1678
91,J292A_6807,J243_2791/J243_2822
92,J292A_6808,J243_2816/J243_1013
93,J292A_6815,J243_2837/J243_0472
94,J292A_0021,J243_3100/J243_2748
95,J292A_0029,J243_1716/J243_3565
96,J292A_0080,J243_1716/J243_0087
97,J292A_0090,J243_2816/J243_0570
98,J292A_0115,J243_2837/J243_0472
99,J292A_0133,J243_0635/J243_3004
100,J292A_0170,J243_2625/J243_1502
101,J292A_0192,J243_1137/J243_1221
102,J292A_0209,J243_2837/J243_0472
103,J292A_0225,J243_3510/J243_2812
104,J292A_0238,J243_0951/J243_0101
105,J292A_0285,J243_1882/J243_3574
106,J292A_0329,J243_1017/J243_0797
107,J292A_0406,J243_3100/J243_2748
108,J292A_0418,J243_1716/J243_3565
109,J292A_0471,J243_0098/J243_0206
110,J292A_0566,J243_0375/J243_0619
111,J292A_0578,J243_0098/J243_0206
112,J292A_0676,J243_2576/J243_1060
113,J292A_0845,J243_3100/J243_1375
114,J292A_0864,J243_2837/J243_0472
115,J292A_0874,J243_0054/J243_1751
116,J292A_0939,J243_3100/J243_0522
117,J292A_0956,J243_1469/J243_1911
118,J292A_0959,J243_1951/J243_0004
119,J292A_0961,J243_2340/J243_2764
120,J292A_0966,J243_0951/J243_1105
121,J292A_0996,J243_2340/J243_2809
122,J292A_0997,J243_2340/J243_2764
123,J292A_1055,J243_1716/J243_3565
124,J292A_1102,J243_3125/J243_2929
125,J292A_1163,J243_1040/J243_3103
126,J292A_1167,J243_1683/J243_3227
127,J292A_1182,J243_2816/J243_1429
128,J292A_1212,J243_2576/J243_1060
129,J292A_1234,J243_2340/J243_2809
130,J292A_1248,J243_1532/J243_1678
131,J292A_1251,J243_2816/J243_1429
132,J292A_1299,J243_1119/J243_2270
133,J292A_1355,J243_0784/J243_0555
134,J292A_1356,J243_0784/J243_3132
135,J292A_1378,J243_0760/J243_1814
136,J292A_1390,J243_1902/J243_3105
137,J292A_1441,J243_0635/J243_3004
138,J292A_1455,J243_3171/J243_2584
139,J292A_1470,J243_1882/J243_3574
140,J292A_1491,J243_3100/J243_2748
141,J292A_1543,J243_0120/J243_0783
142,J292A_1545,J243_3510/J243_0339
143,J292A_1985,J243_0375/J243_3210
144,J292A_2038,J243_2939/J243_2276
145,J292A_2090,J243_1705/J243_0360
146,J292A_2120,J243_2939/J243_2276
147,J292A_2129,J243_1716/J243_0087
148,J292A_2134,J243_0628/J243_1322
149,J292A_2175,J243_0551/J243_2574
150,J292A_2237,J243_2939/J243_1835
151,J292A_2276,J243_0770/J243_2047
152,J292A_2302,J243_1902/J243_3105
153,J292A_2331,J243_3100/J243_1375
154,J292A_2357,J243_1017/J243_0999
155,J292A_2411,J243_1772/J243_1768
156,J292A_2431,J243_0098/J243_2893
157,J292A_2436,J243_0098/J243_2893
158,J292A_2457,J243_1450/J243_0410
159,J292A_2511,J243_1980/J243_2643
160,J292A_2518,J243_0551/J243_2574
161,J292A_2524,J243_3125/J243_1695
162,J292A_2704,J243_0539/J243_3553
163,J292A_2737,J243_0098/J243_0206
164,J292A_2748,J243_2816/J243_1013
165,J292A_2750,J243_0760/J243_1814
166,J292A_2757,J243_1697/J243_2095
167,J292A_2872,J243_3124/J243_2851
168,J292A_2888,J243_3124/J243_2779
169,J292A_2914,J243_3100/J243_2748
170,J292A_3047,J243_0760/J243_1814
171,J292A_3160,J243_0183/J243_1921
172,J292A_3173,J243_2961/J243_0106
173,J292A_3194,J243_1980/J243_2314
174,J292A_3225,J243_0760/J243_1814
175,J292A_3226,J243_1040/J243_3103
176,J292A_3238,J243_0551/J243_2574
177,J292A_3240,J243_0054/J243_1052
178,J292A_3246,J243_1137/J243_1221
179,J292A_3304,J243_0551/J243_2574
180,J292A_3321,J243_2340/J243_2764
181,J292A_3331,J243_0784/J243_3132
182,J292A_3371,J243_0054/J243_1052
183,J292A_3523,J243_2837/J243_0472
184,J292A_3540,J243_0551/J243_2574
185,J292A_3605,J243_1683/J243_2392
186,J292A_3609,J243_1683/J243_0109
187,J292A_3641,J243_1772/J243_1768
188,J292A_3676,J243_3510/J243_0339
189,J292A_3692,J243_2791/J243_0034
190,J292A_3700,J243_1264/J243_0467
191,J292A_3719,J243_1040/J243_3103
192,J292A_3729,J243_3540/J243_1388
193,J292A_3775,J243_0300/J243_1506
194,J292A_3830,J243_3125/J243_2929
195,J292A_3851,J243_1450/J243_0410
196,J292A_3968,J243_0013/J243_3508
197,J292A_4029,J243_0265/J243_1160
198,J292A_4081,J243_0300/J243_2275
199,J292A_4087,J243_2816/J243_1429
200,J292A_4196,J243_1716/J243_3565
201,J292A_4276,J243_1570/J243_2378
202,J292A_4335,J243_1484/J243_3185
203,J292A_4352,J243_0183/J243_2281
204,J292A_4356,J243_1484/J243_1192
205,J292A_4361,J243_1705/J243_0360
206,J292A_4369,J243_3171/J243_2584
207,J292A_4372,J243_0375/J243_3210
208,J292A_4427,J243_1040/J243_3103
209,J292A_4455,J243_0539/J243_3553
210,J292A_4467,J243_1980/J243_2643
211,J292A_4528,J243_0663/J243_0352
212,J292A_4581,J243_3100/J243_1375
213,J292A_4600,J243_1902/J243_3105
214,J292A_4671,J243_0760/J243_1814
215,J292A_4685,J243_0628/J243_1322
216,J292A_4696,J243_1450/J243_2214
217,J292A_4715,J243_0663/J243_0352
218,J292A_4726,J243_3089/J243_2557
219,J292A_4804,J243_1450/J243_0410
220,J292A_4855,J243_0760/J243_0798
221,J292A_5148,J243_1974/J243_3530
222,J292A_5229,J243_3100/J243_2748
223,J292A_5238,J243_1126/J243_1879
224,J292A_5287,J243_2625/J243_1502
225,J292A_5301,J243_1119/J243_2270
226,J292A_5397,J243_2340/J243_2809
227,J292A_5449,J243_1532/J243_0050
228,J292A_5515,J243_0551/J243_2574
229,J292A_5556,J243_1570/J243_2378
230,J292A_5558,J243_2816/J243_0570
231,J292A_5605,J243_3510/J243_0339
232,J292A_5620,J243_2816/J243_1013
233,J292A_5644,J243_1469/J243_1911
234,J292A_5766,J243_1469/J243_1408
235,J292A_5948,J243_0551/J243_2574
236,J292A_5981,J243_0054/J243_1052
237,J292A_6003,J243_0375/J243_0619
238,J292A_6055,J243_1053/J243_1721
239,J292A_6094,J243_1626/J243_1775
240,J292A_6217,J243_1264/J243_0467
241,J292A_6233,J243_1974/J243_3530
242,J292A_6247,J243_2961/J243_1117
243,J292A_6280,J243_2837/J243_0472
244,J292A_6301,J243_1040/J243_3103
245,J292A_6325,J243_3540/J243_0932
246,J292A_6338,J243_0784/J243_0555
247,J292A_6377,J243_1570/J243_2378
248,J292A_6393,J243_0300/J243_0965
249,J292A_6416,J243_0951/J243_0195
250,J292A_6465,J243_2625/J243_0111
251,J292A_6466,J243_0539/J243_3553
252,J292A_6483,J243_2703/J243_3534
253,J292A_6494,J243_1902/J243_0402
254,J292A_6501,J243_2816/J243_0570
255,J292A_6521,J243_0183/J243_2281
256,J292A_6523,J243_3540/J243_0932
257,J292A_6524,J243_3124/J243_2851
258,J292A_6542,J243_0375/J243_3210
259,J292A_6552,J243_3100/J243_2748
260,J292A_6559,J243_1683/J243_2392
261,J292A_6563,J243_1902/J243_3105
262,J292A_6574,J243_2340/J243_2809
263,J292A_6602,J243_0635/J243_1857
264,J292A_6681,J243_1981/J243_2026
265,J292A_6698,J243_3124/J243_2779
266,J292A_6729,J243_0550/J243_2750
267,J292A_6739,J243_1137/J243_0197
268,J292A_6770,J243_3510/J243_1298
269,J292A_6820,J243_1570/J243_2378
270,J292A_0189,J243_0977/J243_1707
271,J292A_0282,J243_1532/J243_0050
272,J292A_0298,J243_1290/J243_2238
273,J292A_0368,J243_0539/J243_3553
274,J292A_0380,J243_2703/J243_1216
275,J292A_0382,J243_0627/J243_0707
276,J292A_0526,J243_3124/J243_2495
277,J292A_0542,J243_0194/J243_1093
278,J292A_0567,J243_0760/J243_1814
279,J292A_0585,J243_2816/J243_1013
280,J292A_0597,J243_0977/J243_1707
281,J292A_0606,J243_3208/J243_1220
282,J292A_0623,J243_0716/J243_1912
283,J292A_0635,J243_1902/J243_3105
284,J292A_0789,J243_0465/J243_1204
285,J292A_0838,J243_2837/J243_0472
286,J292A_0900,J243_1705/J243_0360
287,J292A_0910,J243_2703/J243_1216
288,J292A_0943,J243_2939/J243_1835
289,J292A_0979,J243_0013/J243_3508
290,J292A_1007,J243_1450/J243_0410
291,J292A_1070,J243_0013/J243_3508
292,J292A_1081,J243_1772/J243_1768
293,J292A_1111,J243_2816/J243_1013
294,J292A_1171,J243_2340/J243_2764
295,J292A_1185,J243_1119/J243_2270
296,J292A_1199,J243_0054/J243_1052
297,J292A_1210,J243_1705/J243_0360
298,J292A_1215,J243_1532/J243_2329
299,J292A_1237,J243_1492/J243_2758
300,J292A_1253,J243_3171/J243_2956
301,J292A_1330,J243_0716/J243_0862
302,J292A_1337,J243_1670/J243_2516
303,J292A_1362,J243_3124/J243_2851
304,J292A_1408,J243_1986/J243_2866
305,J292A_1428,J243_1913/J243_0181
306,J292A_1440,J243_3208/J243_2594
307,J292A_1488,J243_0300/J243_1506
308,J292A_1495,J243_0628/J243_1322
309,J292A_1500,J243_2939/J243_2276
310,J292A_2022,J243_1492/J243_2758
311,J292A_2102,J243_0465/J243_1204
312,J292A_2108,J243_0098/J243_0492
313,J292A_2117,J243_0784/J243_3132
314,J292A_2154,J243_2703/J243_3534
315,J292A_2176,J243_0716/J243_1912
316,J292A_2179,J243_1705/J243_0360
317,J292A_2223,J243_0663/J243_1632
318,J292A_2225,J243_1683/J243_3227
319,J292A_2252,J243_1532/J243_2329
320,J292A_2269,J243_0120/J243_0783
321,J292A_2285,J243_0627/J243_1584
322,J292A_2287,J243_1716/J243_3565
323,J292A_2428,J243_1951/J243_0004
324,J292A_2471,J243_0265/J243_2686
325,J292A_2513,J243_1264/J243_0467
326,J292A_2594,J243_3208/J243_1402
327,J292A_2609,J243_2816/J243_1013
328,J292A_2629,J243_2837/J243_0472
329,J292A_2747,J243_0375/J243_3210
330,J292A_2784,J243_1986/J243_2866
331,J292A_2795,J243_0465/J243_1204
332,J292A_2800,J243_2939/J243_2276
333,J292A_2805,J243_0375/J243_0619
334,J292A_2842,J243_0627/J243_1584
335,J292A_2928,J243_2816/J243_1429
336,J292A_3003,J243_0716/J243_1912
337,J292A_3049,J243_2625/J243_0111
338,J292A_3065,J243_0951/J243_0101
339,J292A_3144,J243_3540/J243_0932
340,J292A_3181,J243_0194/J243_1093
341,J292A_3276,J243_1902/J243_3105
342,J292A_3320,J243_1570/J243_2378
343,J292A_3394,J243_1913/J243_0181
344,J292A_3435,J243_3540/J243_0932
345,J292A_3519,J243_1017/J243_0797
346,J292A_3531,J243_1913/J243_0181
347,J292A_3569,J243_2816/J243_1013
348,J292A_3690,J243_1040/J243_2957
349,J292A_3710,J243_0551/J243_2574
350,J292A_3763,J243_1532/J243_1678
351,J292A_3817,J243_3100/J243_1375
352,J292A_3824,J243_0951/J243_0101
353,J292A_3863,J243_0194/J243_1093
354,J292A_4033,J243_1492/J243_2758
355,J292A_4218,J243_1974/J243_3530
356,J292A_4220,J243_0977/J243_1707
357,J292A_4250,J243_3510/J243_1298
358,J292A_4364,J243_1469/J243_1408
359,J292A_4516,J243_3171/J243_1759
360,J292A_4536,J243_2816/J243_1013
361,J292A_4939,J243_0194/J243_1093
362,J292A_5014,J243_0300/J243_1506
363,J292A_5041,J243_3124/J243_2779
364,J292A_5054,J243_1705/J243_0360
365,J292A_5115,J243_0300/J243_0965
366,J292A_5163,J243_3125/J243_1695
367,J292A_5208,J243_1119/J243_2527
368,J292A_5311,J243_2816/J243_1013
369,J292A_5318,J243_1290/J243_2238
370,J292A_5324,J243_0054/J243_1052
371,J292A_5347,J243_0627/J243_1584
372,J292A_5350,J243_1126/J243_1953
373,J292A_5416,J243_1902/J243_3105
374,J292A_5418,J243_0375/J243_3210
375,J292A_5441,J243_1683/J243_3227
376,J292A_5446,J243_3100/J243_0522
377,J292A_5472,J243_3089/J243_0182
378,J292A_5481,J243_1469/J243_1408
379,J292A_5491,J243_1017/J243_0999
380,J292A_5504,J243_3100/J243_2748
381,J292A_5617,J243_1532/J243_2329
382,J292A_5682,J243_1716/J243_3565
383,J292A_5701,J243_0539/J243_2631
384,J292A_5718,J243_3100/J243_0522
385,J292A_5764,J243_0951/J243_0101
386,J292A_5765,J243_3125/J243_2929
387,J292A_5794,J243_2340/J243_2764
388,J292A_5881,J243_1532/J243_0050
389,J292A_5890,J243_1492/J243_2758
390,J292A_5928,J243_3125/J243_2929
391,J292A_5935,J243_0465/J243_1204
392,J292A_5983,J243_1450/J243_2214
393,J292A_6025,J243_0183/J243_1921
394,J292A_6031,J243_3171/J243_1759
395,J292A_6045,J243_0054/J243_1751
396,J292A_6065,J243_3171/J243_1759
397,J292A_6068,J243_1532/J243_2329
398,J292A_6077,J243_2625/J243_0111
399,J292A_6084,J243_3124/J243_2495
400,J292A_6092,J243_0054/J243_1052
401,J292A_6096,J243_0627/J243_1584
402,J292A_6103,J243_3089/J243_0182
403,J292A_6127,J243_2703/J243_1216
404,J292A_6260,J243_0194/J243_1093
405,J292A_6329,J243_0183/J243_2281
406,J292A_6449,J243_0265/J243_2686
407,J292A_6526,J243_2961/J243_1117
408,J292A_6533,J243_1772/J243_1768
409,J292A_6547,J243_3077/J243_1649
410,J292A_6569,J243_1980/J243_2643
411,J292A_6593,J243_3540/J243_0932
412,J292A_6601,J243_1986/J243_2866
413,J292A_6625,J243_1882/J243_3574
414,J292A_6671,J243_1980/J243_2314
415,J292A_6715,J243_3208/J243_1402
416,J292A_6721,J243_0116/J243_2461
417,J292A_6753,J243_1986/J243_2866
418,J292A_6795,J243_1913/J243_0181
419,J292B_0786,J243_0098/J243_0206
420,J292B_0791,J243_0550/J243_1990
421,J292B_0797,J243_0265/J243_1160
422,J292B_0948,J243_1053/J243_0912
423,J292B_0960,J243_1587/J243_2582
424,J292B_0963,J243_1981/J243_2352
425,J292B_1060,J243_0465/J243_1204
426,J292B_1068,J243_1716/J243_3565
427,J292B_1071,J243_1469/J243_1408
428,J292B_1077,J243_0054/J243_1052
429,J292B_1091,J243_3510/J243_0339
430,J292B_1097,J243_1974/J243_3530
431,J292B_1120,J243_0784/J243_0555
432,J292B_1123,J243_2625/J243_1502
433,J292B_1196,J243_2939/J243_1423
434,J292B_1202,J243_0539/J243_3553
435,J292B_1205,J243_0120/J243_0884
436,J292B_1226,J243_1137/J243_1221
437,J292B_1238,J243_1040/J243_3103
438,J292B_1253,J243_0635/J243_3004
439,J292B_1261,J243_2816/J243_0570
440,J292B_1297,J243_2939/J243_1835
441,J292B_1372,J243_0300/J243_2275
442,J292B_1374,J243_1126/J243_1879
443,J292B_1378,J243_2816/J243_1429
444,J292B_1388,J243_1290/J243_2238
445,J292B_1407,J243_1697/J243_2095
446,J292B_1502,J243_0054/J243_1052
447,J292B_1531,J243_1532/J243_1678
448,J292B_1607,J243_1626/J243_1775
449,J292B_2538,J243_0760/J243_0798
450,J292B_2563,J243_0375/J243_0619
451,J292B_2565,J243_0116/J243_2461
452,J292B_2574,J243_0013/J243_0460
453,J292B_2630,J243_3100/J243_0522
454,J292B_2640,J243_0663/J243_0352
455,J292B_2646,J243_1980/J243_2643
456,J292B_2662,J243_0951/J243_1105
457,J292B_2667,J243_2340/J243_2809
458,J292B_2677,J243_2939/J243_1835
459,J292B_2678,J243_1683/J243_2392
460,J292B_2695,J243_0977/J243_1707
461,J292B_2698,J243_2625/J243_1502
462,J292B_2716,J243_1697/J243_2095
463,J292B_2719,J243_3100/J243_1375
464,J292B_2746,J243_2625/J243_1502
465,J292B_2801,J243_1053/J243_2813
466,J292B_2813,J243_0300/J243_2275
467,J292B_2814,J243_0784/J243_3168
468,J292B_2815,J243_1683/J243_3227
469,J292B_2830,J243_2340/J243_2809
470,J292B_2845,J243_1570/J243_2378
471,J292B_2873,J243_0054/J243_1052
472,J292B_2889,J243_1951/J243_0888
473,J292B_2897,J243_0770/J243_2908
474,J292B_2919,J243_2340/J243_2809
475,J292B_2920,J243_0098/J243_0206
476,J292B_2922,J243_0048/J243_0855
477,J292B_2924,J243_0716/J243_1912
478,J292B_2939,J243_1017/J243_0797
479,J292B_2971,J243_2961/J243_0748
480,J292B_2973,J243_0120/J243_0884
481,J292B_2974,J243_0375/J243_3210
482,J292B_2976,J243_2625/J243_0111
483,J292B_2985,J243_2837/J243_0472
484,J292B_3005,J243_1119/J243_1949
485,J292B_3016,J243_0265/J243_2686
486,J292B_3025,J243_2340/J243_2764
487,J292B_3029,J243_0784/J243_3168
488,J292B_3031,J243_1532/J243_0050
489,J292B_3046,J243_1532/J243_0050
490,J292B_3058,J243_0539/J243_2631
491,J292B_3061,J243_1980/J243_2314
492,J292B_3078,J243_1626/J243_1775
493,J292B_3107,J243_1980/J243_2643
494,J292B_3111,J243_0672/J243_1101
495,J292B_3141,J243_2939/J243_1835
496,J292B_3169,J243_3510/J243_0339
497,J292B_3211,J243_2625/J243_0111
498,J292B_3224,J243_3124/J243_2495
499,J292A_0064,J243_3222/J243_2545
500,J292A_0120,J243_1450/J243_2214
501,J292A_0255,J243_3540/J243_0932
502,J292A_0708,J243_0663/J243_0352
503,J292A_0730,J243_3100/J243_2748
504,J292A_0880,J243_2703/J243_1216
505,J292A_1013,J243_1902/J243_3105
506,J292A_1197,J243_0116/J243_2461
507,J292A_1295,J243_1484/J243_1192
508,J292A_1304,J243_0951/J243_1105
509,J292A_1458,J243_0375/J243_3210
510,J292A_1552,J243_1670/J243_2516
511,J292A_2086,J243_2939/J243_2276
512,J292A_2101,J243_1119/J243_2270
513,J292A_2424,J243_0663/J243_1632
514,J292A_2517,J243_2961/J243_1117
515,J292A_2549,J243_0951/J243_1105
516,J292A_2571,J243_0054/J243_1052
517,J292A_2643,J243_1450/J243_2214
518,J292A_2720,J243_3171/J243_2584
519,J292A_2740,J243_1119/J243_2527
520,J292A_2856,J243_3208/J243_1402
521,J292A_2967,J243_0551/J243_2574
522,J292A_2969,J243_2340/J243_2764
523,J292A_2988,J243_1469/J243_1911
524,J292A_3034,J243_0120/J243_0884
525,J292A_3053,J243_0013/J243_3508
526,J292A_3308,J243_1469/J243_1408
527,J292A_3327,J243_1951/J243_0888
528,J292A_3910,J243_1126/J243_1879
529,J292A_3918,J243_1053/J243_2813
530,J292A_3965,J243_1951/J243_0888
531,J292A_4034,J243_0977/J243_1707
532,J292A_4095,J243_0300/J243_2275
533,J292A_4236,J243_1264/J243_0467
534,J292A_4438,J243_3077/J243_1649
535,J292A_4735,J243_0098/J243_2893
536,J292A_4769,J243_0539/J243_3553
537,J292A_4867,J243_0784/J243_0555
538,J292A_4934,J243_1587/J243_1914
539,J292A_5060,J243_2961/J243_0748
540,J292A_5158,J243_2703/J243_3534
541,J292A_5160,J243_1469/J243_1408
542,J292A_5195,J243_2837/J243_0472
543,J292A_5212,J243_3124/J243_2779
544,J292A_5477,J243_0784/J243_3132
545,J292A_5514,J243_0784/J243_3132
546,J292A_5571,J243_0760/J243_1814
547,J292A_5575,J243_1469/J243_1408
548,J292A_5591,J243_3222/J243_2545
549,J292A_5656,J243_3125/J243_2929
550,J292A_5745,J243_0375/J243_0619
551,J292A_5895,J243_0663/J243_0352
552,J292A_5984,J243_2961/J243_0106
553,J292A_6059,J243_0539/J243_3553
554,J292A_6201,J243_1913/J243_0181
555,J292A_6331,J243_3077/J243_1611
556,J292A_6340,J243_0048/J243_0855
557,J292A_6355,J243_3100/J243_2748
558,J292A_6357,J243_0551/J243_1520
559,J292A_6450,J243_0672/J243_1101
560,J292A_6458,J243_2791/J243_2822
561,J292A_6511,J243_0300/J243_0965
562,J292A_6615,J243_3124/J243_2779
563,J292B_0949,J243_3077/J243_1649
564,J292B_1237,J243_1902/J243_0402
565,J292B_1285,J243_0120/J243_0783
566,J292B_1368,J243_1450/J243_0410
567,J292B_1394,J243_1126/J243_1953
568,J292B_1408,J243_1570/J243_0837
569,J292B_1413,J243_0098/J243_2893
570,J292B_1418,J243_0098/J243_0492
571,J292B_1552,J243_1683/J243_0109
572,J292B_2558,J243_1981/J243_2026
573,J292B_2608,J243_3089/J243_1184
574,J292B_2650,J243_0375/J243_3210
575,J292B_2724,J243_0951/J243_0101
576,J292B_2765,J243_0770/J243_2047
577,J292B_2798,J243_1492/J243_2758
578,J292B_2804,J243_1469/J243_1408
579,J292B_2841,J243_1670/J243_2516
580,J292B_2843,J243_2961/J243_0106
581,J292B_2903,J243_1951/J243_0004
582,J292B_2904,J243_0551/J243_1520
583,J292B_2956,J243_3125/J243_1695
584,J292B_2978,J243_2961/J243_1117
585,J292B_3096,J243_0300/J243_0965
586,J292B_3099,J243_0048/J243_0855
587,J292B_3121,J243_0760/J243_0798
588,J292B_3183,J243_1882/J243_3574
